,Name,Category,NAtoms
0,n-n-1,etcoord,47
1,n-n-2,etcoord,50
2,n-n-3,etcoord,46
3,n-n-4,etcoord,64
4,n-n-5,etcoord,41
5,p-p-1,etcoord,71
6,p-p-2,etcoord,74
7,p-p-3,etcoord,90
8,p-p-4,etcoord,77
9,p-so-1,etcoord,64
10,p-so-10,etcoord,64
11,p-so-11,etcoord,74
12,p-so-12,etcoord,78
13,p-so-13,etcoord,62
14,p-so-14,etcoord,68
15,p-so-15,etcoord,54
16,p-so-16,etcoord,73
17,p-so-2,etcoord,56
18,p-so-3,etcoord,70
19,p-so-4,etcoord,76
20,p-so-5,etcoord,65
21,p-so-6,etcoord,60
22,p-so-7,etcoord,62
23,p-so-8,etcoord,72
24,p-so-9,etcoord,64
25,pcpo-1,etcoord,69
26,pcpo-2,etcoord,72
27,pcpo-3,etcoord,75
28,pnpo-1,etcoord,94
29,pnpo-10,etcoord,100
30,pnpo-11,etcoord,100
31,pnpo-12,etcoord,100
32,pnpo-13,etcoord,100
33,pnpo-2,etcoord,100
34,pnpo-3,etcoord,90
35,pnpo-4,etcoord,100
36,pnpo-5,etcoord,86
37,pnpo-6,etcoord,82
38,pnpo-7,etcoord,78
39,pnpo-8,etcoord,89
40,pnpo-9,etcoord,100
41,n-n-1,nocoord,41
42,n-n-2,nocoord,44
43,n-n-3,nocoord,40
44,n-n-4,nocoord,58
45,n-n-5,nocoord,35
46,p-p-1,nocoord,65
47,p-p-2,nocoord,68
48,p-p-3,nocoord,84
49,p-p-4,nocoord,71
50,p-so-1,nocoord,58
51,p-so-10,nocoord,58
52,p-so-11,nocoord,68
53,p-so-12,nocoord,72
54,p-so-13,nocoord,56
55,p-so-14,nocoord,62
56,p-so-15,nocoord,48
57,p-so-16,nocoord,67
58,p-so-2,nocoord,50
59,p-so-3,nocoord,64
60,p-so-4,nocoord,70
61,p-so-5,nocoord,59
62,p-so-6,nocoord,54
63,p-so-7,nocoord,56
64,p-so-8,nocoord,66
65,p-so-9,nocoord,58
66,pcpo-1,nocoord,63
67,pcpo-2,nocoord,66
68,pcpo-3,nocoord,69
69,pnpo-1,nocoord,88
70,pnpo-10,nocoord,94
71,pnpo-11,nocoord,100
72,pnpo-12,nocoord,98
73,pnpo-13,nocoord,100
74,pnpo-2,nocoord,98
75,pnpo-3,nocoord,84
76,pnpo-4,nocoord,96
77,pnpo-5,nocoord,80
78,pnpo-6,nocoord,76
79,pnpo-7,nocoord,72
80,pnpo-8,nocoord,83
81,pnpo-9,nocoord,90
