Name,Total_VBur,SW_VBur,NW_VBur,NE_VBur,SE_VBur,N_AVG,S_AVG,Phenylene_backbone,Pd-O Distance,Alkoxy,Charge
n-n-1,38.7,34.2,34.7,51.9,34.2,43.3,34.2,1,0,0,1
n-n-2,36.2,34.4,34.1,35.3,40.8,34.7,37.6,1,4.41,1,1
n-n-3,35.8,33.9,34.7,33.6,41.2,34.15,37.55,1,0,0,1
n-n-4,43.6,34.4,34,51.9,53.9,42.95,44.15,1,0,0,1
pcpo-1,41.6,29,46.7,48.8,41.9,47.75,35.45,0,0,0,1
pcpo-2,43,30.9,51,49.6,40.7,50.3,35.8,1,0,0,1
pcpo-3,44.7,35.8,55.3,46,41.5,50.65,38.65,1,0,0,1
p-so-16,48.6,53,28.5,50.8,61.9,39.65,57.45,1,3.42,1,0
n-n-5,32.9,34.3,33.9,31.8,31.7,32.85,33,1,0,0,1
pnpo-1,49.1,47.1,41.7,44.3,63.4,43,55.25,1,3.12,1,1
pnpo-2,47.3,54.8,75,41.8,41.8,58.4,48.3,1,3.73,1,1
pnpo-3,43.9,27.9,47.7,53.1,46.8,50.4,37.35,1,3.04,1,1
pnpo-4,44.6,41.7,33.9,42.8,59.9,38.35,50.8,1,3,1,1
pnpo-5,48.9,46.6,41.9,44.2,63.1,43.05,54.85,1,3.13,1,1
p-so-1,47.7,37.2,39.7,51.3,62.5,45.5,49.85,1,3.05,1,0
p-so-2,41.7,45,27.8,46.7,47.3,37.25,46.15,1,0,0,0
p-so-3,49.8,30.2,57.3,65.9,45.9,61.6,38.05,1,3.25,1,0
p-so-4,50.1,30.1,59,64.8,46.5,61.9,38.3,1,3.21,1,0
p-so-5,49.7,53,27,60.9,57.8,43.95,55.4,1,0,0,0
p-so-6,47,29.2,49.2,67.5,42.1,58.35,35.65,0,3.11,1,0
p-so-7,46.1,29.9,42,63.8,48.9,52.9,39.4,1,0,0,0
p-p-1,49.9,56.8,48.3,53.3,41.4,50.8,49.1,0,0,0,1
p-p-2,51.7,49.8,54.9,52.9,49.4,53.9,49.6,0,0,0,1
p-p-3,56.7,55.5,69.5,53,48.8,61.25,52.15,0,3.19,1,1
p-p-4,49.4,49.5,53.4,50.2,44.6,51.8,47.05,1,0,0,1
p-so-8,48.6,32.1,40.5,53.3,68.4,46.9,50.25,1,2.98,1,0
p-so-9,41.9,29.2,41.7,46.8,50,44.25,39.6,1,7.22,1,0
p-so-10,47.8,33.7,42,49,66.4,45.5,50.05,1,2.96,1,0
p-so-11,56.7,59.2,43.7,49.9,73,46.8,66.1,1,3.622,1,0
p-so-12,57.8,62.9,44.3,50,74,47.15,68.45,1,3.7,1,0
p-so-13,42.5,29.3,41.6,51.7,47.6,46.65,38.45,1,0,0,0
p-so-14,43.2,29.8,41.2,48,53.8,44.6,41.8,1,0,0,0
p-so-15,43.2,29.5,41.7,49,52.8,45.35,41.15,1,0,0,0
pnpo-6,40.3,41.2,31.4,38.8,49.8,35.1,45.5,0,8.812,1,1
pnpo-7,40.4,41.6,31.6,39.1,49.5,35.35,45.55,0,0,0,1
pnpo-8,49.4,47.6,42.4,44.8,63,43.6,55.3,0,3.131,1,1
pnpo-9,51.1,42.7,32.7,56.2,72.7,44.45,57.7,0,3.93,1,1
pnpo-10,50.7,42.7,31.6,56,72.4,43.8,57.55,0,3.96,1,1
pnpo-11,50.9,41.9,31.9,56.4,73.5,44.15,57.7,0,3.92,1,1
pnpo-12,51.1,41.8,31.7,56.8,74.2,44.25,58,0,3.92,1,1
pnpo-13,51.2,40.8,31.2,56.2,76.7,43.7,58.75,0,3.9,1,1
