,Name,Category,Gibbs Free Energy Correction
0,c-n-1,etcoord,0.433509
1,c-n-2,etcoord,0.458576
2,c-n-3,etcoord,0.519838
3,c-o-1,etcoord,0.420964
4,c-o-2,etcoord,0.665148
5,c-o-3,etcoord,0.710872
6,c-o-4,etcoord,0.504376
7,c-o-6,etcoord,0.494346
8,c-o-9,etcoord,0.703662
9,c-p-1,etcoord,0.469441
10,c-s-1,etcoord,0.335963
11,p-o-10,etcoord,0.467273
12,p-o-11,etcoord,0.480867
13,p-o-12,etcoord,0.467901
14,p-o-13,etcoord,0.594781
15,p-o-15,etcoord,0.656247
16,p-o-16,etcoord,0.695366
17,p-o-17,etcoord,0.582261
18,p-o-18,etcoord,0.573134
19,p-o-19,etcoord,0.768852
20,p-o-20,etcoord,0.596207
21,p-o-21,etcoord,0.541813
22,p-o-22,etcoord,0.608128
23,p-o-23,etcoord,0.605544
24,p-o-24,etcoord,0.551289
25,p-o-25,etcoord,0.545502
26,p-o-26,etcoord,0.611941
27,p-o-27,etcoord,0.44917
28,p-o-28,etcoord,0.735982
29,p-o-29,etcoord,0.550749
30,p-o-30,etcoord,0.606269
31,p-o-31,etcoord,0.68165
32,p-o-32,etcoord,0.679577
33,p-o-34,etcoord,0.494819
34,p-o-35,etcoord,0.52864
35,p-o-36,etcoord,0.777661
36,p-o-37,etcoord,0.525973
37,p-o-38,etcoord,0.74709
38,p-o-39,etcoord,0.850528
39,p-o-40,etcoord,0.734911
40,p-o-43,etcoord,0.794486
41,p-o-44,etcoord,0.700782
42,p-o-48,etcoord,0.525772
43,p-o-8,etcoord,0.634031
44,p-o-9,etcoord,0.532248
45,c-n-1,nocoord,0.385009
46,c-n-2,nocoord,0.408525
47,c-n-3,nocoord,0.468864
48,c-o-1,nocoord,0.372268
49,c-o-2,nocoord,0.614342
50,c-o-3,nocoord,0.658583
51,c-o-4,nocoord,0.457425
52,c-o-5,nocoord,0.39596
53,c-o-6,nocoord,0.446057
54,c-o-7,nocoord,0.362834
55,c-o-8,nocoord,0.512512
56,c-p-1,nocoord,0.420803
57,c-s-1,nocoord,0.290865
58,n-o-1,nocoord,0.45934
59,n-o-2,nocoord,0.509128
60,n-o-3,nocoord,0.482955
61,n-o-4,nocoord,0.533298
62,n-o-5,nocoord,0.564136
63,n-o-6,nocoord,0.641306
64,p-n-1,nocoord,0.389634
65,p-n-2,nocoord,0.454447
66,p-n-3,nocoord,0.5254
67,p-n-4,nocoord,0.669428
68,p-o-10,nocoord,0.416025
69,p-o-11,nocoord,0.433032
70,p-o-12,nocoord,0.415545
71,p-o-13,nocoord,0.541106
72,p-o-14-2reattempt,nocoord,0.580925
73,p-o-14-reattempt,nocoord,0.581905
74,p-o-14,nocoord,0.581903
75,p-o-15,nocoord,0.602747
76,p-o-16,nocoord,0.64366
77,p-o-17,nocoord,0.52929
78,p-o-18,nocoord,0.526467
79,p-o-19,nocoord,0.717691
80,p-o-20,nocoord,0.545311
81,p-o-21,nocoord,0.491143
82,p-o-22,nocoord,0.553475
83,p-o-23,nocoord,0.555164
84,p-o-24,nocoord,0.500881
85,p-o-25,nocoord,0.553475
86,p-o-26,nocoord,0.559466
87,p-o-27,nocoord,0.396846
88,p-o-28,nocoord,0.684891
89,p-o-29,nocoord,0.495706
90,p-o-30,nocoord,0.554857
91,p-o-31,nocoord,0.631102
92,p-o-32,nocoord,0.627643
93,p-o-33,nocoord,0.50236
94,p-o-34,nocoord,0.442933
95,p-o-35,nocoord,0.478094
96,p-o-36,nocoord,0.726163
97,p-o-37,nocoord,0.477095
98,p-o-38,nocoord,0.697237
99,p-o-39,nocoord,0.800532
100,p-o-40,nocoord,0.685754
101,p-o-41,nocoord,0.530089
102,p-o-42,nocoord,0.636643
103,p-o-43,nocoord,0.746523
104,p-o-44,nocoord,0.648697
105,p-o-45,nocoord,0.656171
106,p-o-8,nocoord,0.583814
107,p-o-9,nocoord,0.481591
